,popularity
219632,29
151559,59
28505,35
48304,30
211566,12
170585,22
98642,59
100298,50
14664,77
151546,59
151511,57
96817,57
54204,0
115075,74
103995,46
63545,47
14679,62
4255,38
227100,53
196777,47
35758,14
150352,63
128093,27
164987,22
78055,65
166124,79
58677,25
157834,37
77870,71
226353,60
213207,62
83176,48
53261,23
161163,35
121694,50
198367,39
163401,31
228949,53
203568,25
125632,37
197428,34
14887,63
19616,47
218059,35
36841,29
180717,35
122949,44
168601,32
121495,52
34243,12
114406,67
57351,55
141164,55
205606,28
206874,26
32362,19
151077,56
98451,52
32262,40
98572,52
93722,72
21854,51
82441,4
91216,63
209956,36
215107,47
24772,40
36568,30
64738,44
72954,3
52443,32
106225,7
98801,51
27768,57
153363,60
132054,44
224123,56
133352,31
25370,38
190292,17
140140,51
13562,46
165828,11
27700,43
187756,42
201705,34
72319,12
132126,38
75898,0
19206,48
108884,74
211949,11
185012,33
180779,35
123856,49
78964,52
41094,63
62495,48
86821,43
64438,44
24601,40
89640,62
120996,61
42074,53
171012,22
191636,15
147051,43
208720,36
111378,67
7713,38
134282,0
34072,16
126508,34
217083,31
92142,51
3417,60
150999,69
72718,9
179487,37
7757,36
2979,54
70185,61
104243,0
10931,46
107182,2
219744,26
210653,40
95098,60
116936,60
211719,11
56384,5
94320,71
166885,71
132430,40
191980,71
108679,71
203650,23
110350,65
201393,35
52800,30
66360,41
231018,42
136463,27
69959,55
53162,25
10155,45
32300,20
34509,30
81991,5
128703,26
99627,50
134107,64
8252,37
13555,46
185281,29
222976,72
220440,33
154105,56
184324,9
57729,36
224343,59
148768,37
228985,50
45352,15
43165,54
161462,37
95506,61
188703,41
209370,41
46113,59
26874,28
169442,26
47550,47
25757,34
78566,58
74424,2
57834,26
169218,27
226089,54
4195,39
30681,20
4651,38
208104,47
176786,44
109520,70
836,45
118502,56
4832,59
46961,37
113071,70
4177,38
55781,4
160960,38
117918,56
19691,48
165294,26
112008,62
143666,65
116485,57
215522,46
231612,37
192277,64
50197,37
189534,16
209739,32
218017,29
74823,1
59559,52
151877,57
172906,20
147153,47
174479,15
159839,35
100897,44
17296,52
160783,36
175512,11
152809,66
44509,50
14517,63
103023,44
186057,31
12495,41
44184,47
187363,22
38892,23
22691,57
1906,62
26910,43
97356,61
121283,59
100397,51
112351,70
123761,43
118141,57
18524,53
50198,25
109843,66
92599,46
17036,59
50470,37
141274,51
106687,3
6227,56
220873,35
177767,38
135181,32
197200,33
116086,65
193953,6
42944,55
89686,52
115272,70
162879,30
2481,43
21844,44
35311,15
121928,50
52143,29
73149,2
68676,62
82074,5
221054,29
226201,58
30318,26
46825,44
159909,37
71732,27
10916,43
61571,50
189189,48
2505,63
117708,65
38885,34
207739,47
106127,6
166486,70
194095,7
178917,38
51097,30
129452,26
148103,46
171901,19
163338,24
203012,29
83912,51
111589,61
27207,48
129519,27
20833,45
184396,11
221768,27
115854,66
62873,44
101592,50
218682,31
170757,23
63236,46
118966,57
150181,63
130895,25
44916,49
53563,28
82282,9
339,0
45923,59
108629,70
203332,5
64553,50
221385,28
88367,61
207070,28
56215,2
141066,54
124679,11
45847,63
78722,65
42611,62
200394,37
152355,70
84443,44
196400,1
114347,67
3171,58
80129,8
116697,62
77429,68
172513,17
9829,47
174592,14
47941,35
188017,21
140473,54
127765,31
20554,49
64855,37
207998,49
206442,28
151159,60
3111,53
33295,17
36895,30
173281,16
180412,34
5381,57
180658,30
51083,32
128195,23
69351,59
122783,56
87123,78
5054,50
111940,65
90097,52
98261,58
117955,61
96372,53
210577,32
147106,43
162675,31
103360,50
10999,45
95246,58
129034,28
190562,24
46680,47
32260,18
77969,69
188542,22
141258,48
193699,56
182193,36
207563,52
101771,51
146149,53
64013,45
121785,55
116845,60
17410,57
159099,50
44619,45
74387,0
